Category,Food or category (serving),Number of sources,Mean Ni (ug/serving),Stddev (ug/serving),Min Ni (ug/serving),Max Ni (ug/serving)
"Whole grains, flours and starches","Rice, red, cooked, 140 g*",1,0.08,0,0.08,0.08
"Whole grains, flours and starches","Rice, wild, cooked, 140 g*",1,0.08,0,0.08,0.08
"Whole grains, flours and starches","Starch, wheat, 10 g*",1,0.37,0,0.37,0.37
"Whole grains, flours and starches","Starch, potato, 10 g*",2,0.4,0,0.4,0.4
"Whole grains, flours and starches","Flour, potato, 30 g*",1,0.9,0,0.9,0.9
"Whole grains, flours and starches","Starch, rice, 10 g*",1,1.1,0,1.1,1.1
"Whole grains, flours and starches","Semolina, 45 g",5,2.24,0.75,1.67,3.6
"Whole grains, flours and starches","Flour, white, 30 g",47,1.96,1.44,0.6,7.5
"Whole grains, flours and starches","Starch, corn, 10 g*",1,1.5,0,1.5,1.5
"Whole grains, flours and starches","Flour, rye, 30 g",17,2.76,1.02,1.32,4.56
"Whole grains, flours and starches","Wheat gluten, 15 g*",1,1.88,0,1.88,1.88
"Whole grains, flours and starches","Rye kernels, whole/cracked, 45 g",3,3.5,1.17,2.34,5.1
"Whole grains, flours and starches","Flour, rye, whole, 30 g",4,3.5,1.81,2.04,6.48
"Whole grains, flours and starches","Flour, barley, 30 g*",2,3,0,3,3
"Whole grains, flours and starches","Flour, spelt, 30 g*",1,4.01,0,4.01,4.01
"Whole grains, flours and starches","Starch, cassava, 10 g*",1,4.7,0,4.7,4.7
"Whole grains, flours and starches","Flour, whole wheat, 30 g",8,7.53,3.37,2.91,12
"Whole grains, flours and starches","Rice, white, cooked, 140 g",101,7.04,4.44,1.12,23.8
"Whole grains, flours and starches","Flour, spelt, whole, 30 g",2,8.19,3.69,4.5,11.88
"Whole grains, flours and starches","Rice, black, raw, 45 g",2,7.88,4.73,3.15,12.6
"Whole grains, flours and starches","Wheat bran, 15 g",12,9.88,5.14,3,21
"Whole grains, flours and starches","Wheat kernels/bulgur, 45 g",20,9.38,7.84,1.71,36.9
"Whole grains, flours and starches","Wheat germ, 15 g",6,10.73,2.24,7.5,13.8
"Whole grains, flours and starches","Spelt, raw, 45 g",3,11.67,1.87,10.35,14.32
"Whole grains, flours and starches","Rice, white, raw, 45 g",25,11.64,4.23,1.76,18.9
"Whole grains, flours and starches","Flour, cassava, 30 g",3,10.89,5.77,3.87,18
"Whole grains, flours and starches","Rice, brown, cooked, 140 g",36,11.41,5.67,1.25,25.2
"Whole grains, flours and starches","Quinoa, cooked, 140 g",5,10.46,8.96,0.1,22.4
"Whole grains, flours and starches","Rice, brown, raw, 45 g",11,13.4,3.45,8.1,17.1
"Whole grains, flours and starches","Wheat kernels/bulgur, cooked, 140 g*",1,14,0,14,14
"Whole grains, flours and starches","Barley, raw, 45 g",6,13.05,8.06,4.5,23.85
"Whole grains, flours and starches","Cornmeal, 30 g",4,14.4,9.87,8.7,31.5
"Whole grains, flours and starches","Flour, teff, 30 g",2,18.45,2.25,16.2,20.7
"Whole grains, flours and starches","Oat bran, 15 g*",2,18,0,18,18
"Whole grains, flours and starches","Flour, rice, 30 g",7,16.46,12.99,3.21,38.16
"Whole grains, flours and starches","Flour, almond, 15 g",10,27.69,3.89,19.5,33.9
"Whole grains, flours and starches","Flour, sea buckthorn, 15 g*",1,21,0,21,21
"Whole grains, flours and starches","Flour, coconut, 15 g*",1,22.5,0,22.5,22.5
"Whole grains, flours and starches","Pumpkin seed flour, 15 g*",1,24,0,24,24
"Whole grains, flours and starches","Sorghum, cooked, 140 g*",1,24.22,0,24.22,24.22
"Whole grains, flours and starches","Sorghum, dry, 45 g*",2,26.55,0,26.55,26.55
"Whole grains, flours and starches","Flour, chickpea, 15 g",3,31.68,21.77,13.28,62.25
"Whole grains, flours and starches","Amaranth, raw, 45 g",5,33.7,26.58,7.38,72
"Whole grains, flours and starches","Quinoa, raw, 45 g",8,35.26,31.03,1.8,108
"Whole grains, flours and starches","Flour, millet, 30 g*",1,36,0,36,36
"Whole grains, flours and starches","Millet, raw, 40 g",8,47.9,21.16,22.4,80
"Whole grains, flours and starches","Flour, buckwheat, 30 g",5,46.83,40.19,17.7,126
"Whole grains, flours and starches","Oats, raw, 40 g",13,53.62,27.93,12.4,120
"Whole grains, flours and starches","Flour, oat, 30 g*",2,50.4,0,50.4,50.4
"Whole grains, flours and starches","Flour, soy, 15 g",7,64.75,28.47,42,126.54
"Whole grains, flours and starches","Buckwheat, raw, 45 g",11,99.26,71.71,10.04,243
"Whole grains, flours and starches","Rice, wild, raw, 45 g*",1,148.5,0,148.5,148.5
