Category,Food or category (serving),Number of sources,Mean Ni (ug/serving),Stddev (ug/serving),Min Ni (ug/serving),Max Ni (ug/serving)
Herbs and spices,"Bishop's weed, 0.5 g*",1,1.6,0,1.6,1.6
Herbs and spices,"Rosemary, fresh, 1.5 g",4,2.3,0.27,1.98,2.73
Herbs and spices,"Anise, 0.5 g*",1,1.99,0,1.99,1.99
Herbs and spices,"Anchovy paste, 15 g",4,2.16,1.29,0.38,3.6
Herbs and spices,"Parsley, fresh, 1.5 g",11,1.96,1.81,0.11,5.72
Herbs and spices,"Sage, dry, 0.5 g",2,3.19,0.24,2.95,3.44
Herbs and spices,"Oregano, dry, 0.5 g",5,2.38,2.1,0.2,5.3
Herbs and spices,"Thyme, dry, 0.5 g",6,2.81,1.59,0.5,4.97
Herbs and spices,"Lemon balm, 0.5 g*",1,3.01,0,3.01,3.01
Herbs and spices,"Pepper, black, 0.5 g",13,2.4,2.86,0.4,11.5
Herbs and spices,"Basil, fresh, 1.5 g",4,3.67,0.48,2.99,4.23
Herbs and spices,"Hot peppers, dried, 0.5 g",7,3.13,2.96,0.18,7.62
Herbs and spices,"Gourmet salt, 1 g",10,2.75,3.82,0.21,12.41
Herbs and spices,"Ramen noodle powder, 1.5 g*",1,4.95,0,4.95,4.95
Herbs and spices,"Oregano, fresh, 1.5 g",5,5.26,1.08,3.72,6.45
Herbs and spices,"Cayenne pepper, 0.5 g",3,5.83,4.06,2.19,11.5
Herbs and spices,"Fennel, dry, 0.5 g",3,5.55,5.45,1.43,13.25
Herbs and spices,"Savoury, dried, 0.5 g*",1,7.95,0,7.95,7.95
Herbs and spices,"Hot peppers, 40 g",10,10.48,3.33,5.6,16.4
Fats and oils,"Olive oil, 10 g",90,0.21,0.16,0.01,0.98
Fats and oils,"Cottonseed oil, 10 g",2,0.32,0.06,0.27,0.38
Fats and oils,"Lard, 10 g",4,0.35,0.14,0.1,0.43
Fats and oils,"Butter, 10 g",97,0.3,0.27,0.06,1.63
Fats and oils,"Almond oil, 10 g*",1,0.25,0,0.25,0.25
Fats and oils,"Corn oil, 10 g",9,0.34,0.3,0.02,1
Fats and oils,"Pumpkin seed oil, 10 g*",2,0.32,0,0.32,0.32
Fats and oils,"Grapeseed oil, 10 g",3,0.39,0.29,0.19,0.8
Fats and oils,"Palm oil, 10 g",2,0.42,0.32,0.1,0.73
Fats and oils,"Vegetable oils, unspecified, 10 g",81,0.35,0.49,0.02,3.29
Fats and oils,"Mustard oil, 10 g",4,0.54,0.27,0.27,0.96
Fats and oils,"Rice oil, 10 g",2,0.55,0.25,0.3,0.8
Fats and oils,"Hazelnut oil, 10 g",2,0.49,0.41,0.07,0.9
Fats and oils,"Sunflower oil, 10 g",26,0.5,0.49,0.02,2.4
Fats and oils,"Avocado oil, 10 g",11,0.64,0.42,0.14,1.4
Fats and oils,"Cocoa butter, 10 g",3,0.82,0.08,0.7,0.89
Fats and oils,"Peanut oil, 10 g",3,0.76,0.42,0.26,1.28
Fats and oils,"Soybean oil, 10 g",9,0.93,1.02,0.03,3.2
Fats and oils,"Coconut oil, 10 g",5,0.93,1.36,0.08,3.6
Fats and oils,"Canola/rapeseed oil , 10 g",12,1.2,1.27,0.2,4.2
Fats and oils,"Sesame oil, 10 g",3,1.54,1.03,0.75,3
Fats and oils,"Margarine, 10 g",138,1.36,2.74,0.02,18.31
Fats and oils,"Ghee, 10 g",13,6.57,6.72,1,20.34
Fats and oils,"Shortening, 10 g",7,11.9,7.26,4.21,23.79
Snacks and desserts,"Baba ganoush, 30 g*",1,0.35,0,0.35,0.35
Snacks and desserts,"Breadfruit, dried, 40 g*",1,0.48,0,0.48,0.48
Snacks and desserts,"Popsicle, 30 g",50,0.53,0.26,0.24,1.56
Snacks and desserts,"Pork rinds, 20 g",2,1.83,0.77,1.06,2.6
Snacks and desserts,"Gelatin dessert, 130 g",69,1.65,1.2,0.33,8
Snacks and desserts,"Vanilla ice cream or frozen yogurt, 129 g",159,1.97,1.26,0.46,12.9
Snacks and desserts,"Applesauce, 110 g",78,2.16,1.82,0.5,11
Snacks and desserts,"Chewing gum, 3 g",18,2.05,2.29,0.09,8.31
Snacks and desserts,"Graham crackers, 30 g",50,2.85,0.82,0.3,4.5
Snacks and desserts,"Sherbert/sorbet, 129 g",52,2.4,2.03,0.65,8.51
Snacks and desserts,"Raisins, yogurt candy coated, 40 g*",1,2.6,0,2.6,2.6
Snacks and desserts,"Pretzels, 50 g",51,3.74,1.56,0.4,8.25
Snacks and desserts,"Raisins, 40 g",74,3.34,2.42,0.4,14.12
Snacks and desserts,"Dried cherries, 40 g*",1,2.71,0,2.71,2.71
Snacks and desserts,"Dried mango, 40 g*",1,4.4,0,4.4,4.4
Snacks and desserts,"Banana chips, 40 g*",1,4.8,0,4.8,4.8
Snacks and desserts,"Cereal bar, rice, 35 g*",1,7.35,0,7.35,7.35
Snacks and desserts,"Dried strawberry, 40 g",3,7.16,4.33,3.83,13.28
Snacks and desserts,"Potato chips, 50 g",83,7.67,3.91,1.81,21.3
Snacks and desserts,"Dried currants, 40 g*",1,8.04,0,8.04,8.04
Snacks and desserts,"Cookies, not chocolate, 30 g",79,6.17,10.22,0.24,63.6
Snacks and desserts,"Vegetable chips, 50 g",8,9.28,5.45,1.6,17.65
Snacks and desserts,"Rice pudding, 130 g",6,9.36,5.64,2.73,16.25
Snacks and desserts,"Savoury crisps, 50 g",7,9.83,6.47,1,18.5
Snacks and desserts,"Pudding, not chocolate, 130 g",55,9.68,9.35,0.27,57.2
Snacks and desserts,"Corn chips, 50 g",60,10.33,2.55,5.25,16.05
Snacks and desserts,"Dried dates, 40 g",5,12.24,1.83,8.8,14
Snacks and desserts,"Snacks, corn-based, 50 g",4,13.65,2.94,8.6,16
Snacks and desserts,"Popcorn, 50 g",73,14.51,5.49,0.75,40.65
Snacks and desserts,"Dried blueberry, 40 g*",1,15.56,0,15.56,15.56
Snacks and desserts,"Dried pear, 40 g*",1,15.64,0,15.64,15.64
Snacks and desserts,"Dried rosehips, 40 g*",1,16,0,16,16
Snacks and desserts,"Cookies with nuts, 30 g",5,15.16,6.44,8.91,27.24
Snacks and desserts,"Dried mulberry, 40 g*",1,17.28,0,17.28,17.28
Snacks and desserts,"Cookies with chocolate, 30 g",130,16.71,7.49,0.3,68.7
Snacks and desserts,"Snacks, potato-based, 50 g*",1,19,0,19,19
Snacks and desserts,"Prunes, 40 g",4,21.45,3.66,16,24.8
Snacks and desserts,"Cereal bar, 35 g",62,21.63,8.25,3.22,45.5
Snacks and desserts,"Pudding, chocolate, 130 g",8,26.86,7,16.9,36.27
Snacks and desserts,"Cereal bar, with chocolate, 35 g",13,23.4,17.29,9.31,63.35
Snacks and desserts,"Ice cream desserts, 129 g",46,20.82,22.47,0.54,101.39
Snacks and desserts,"Dried cranberry, 40 g*",1,25.76,0,25.76,25.76
Snacks and desserts,"Dried pineapple, 40 g*",1,25.76,0,25.76,25.76
Snacks and desserts,"Dried apricots, 40 g",6,32.07,11.86,19.6,48
Snacks and desserts,"Cookies with chocolate and nuts, 40 g*",1,40,0,40,40
Snacks and desserts,"Dried raspberry, 40 g",2,40.5,9.9,30.6,50.4
Snacks and desserts,"Dried figs, 40 g",3,49.13,4.05,43.4,52
Snacks and desserts,"Chocolate ice cream, 129 g",28,49.74,9.29,28.38,64.5
Snacks and desserts,"Ice cream, non-dairy, 129 g",3,42.83,30.32,14.06,84.75
Snacks and desserts,"Dried fruit and nuts, 50 g",4,67.51,20.1,34.55,88.5
Snacks and desserts,"Snacks, bean-based, 50 g",3,69.67,44.17,25.5,130
Sugars and sweets,"Lactose powder, 1.4 g*",1,0.01,0,0.01,0.01
Sugars and sweets,"Xylitol, 1.4 g*",1,0.04,0,0.04,0.04
Sugars and sweets,"Sugar, white, 4 g",71,0.07,0.04,0,0.28
Sugars and sweets,"Fructose, 4 g*",2,0.12,0,0.12,0.12
Sugars and sweets,"Sugar, brown, 4 g",10,0.34,0.16,0.03,0.68
Sugars and sweets,"Corn/glucose syrup, 30 g*",1,0.6,0,0.6,0.6
Sugars and sweets,"Molasses, 20 g",2,1.01,0.99,0.02,2
Sugars and sweets,"Gummy candy, 40 g",8,1.53,1.44,0.24,4
Sugars and sweets,"Candy, 40 g",86,1.77,2.07,0.32,8.4
Sugars and sweets,"Sweetened evaporated milk, 30 g*",1,2.16,0,2.16,2.16
Sugars and sweets,"Syrup, not chocolate, 60 g",76,2.19,3.81,0.23,18
Sugars and sweets,"Honey, 20 g",120,2.32,3.84,0.01,18
Sugars and sweets,"White chocolate, 15 g",2,7.17,6.63,0.54,13.8
Sugars and sweets,"Marzipan, 30 g*",2,9.6,0,9.6,9.6
Sugars and sweets,"Malt syrup, 30 g*",1,12.72,0,12.72,12.72
Sugars and sweets,"Maple syrup, 60 g",4,17.4,1.02,16.14,18.72
Sugars and sweets,"Licorice, 40 g",5,16.72,9.43,4,27.2
Sugars and sweets,"Chocolate confections with nuts, 40 g",86,23.82,19.59,0.8,113.6
Sugars and sweets,"Confections with nuts, 50 g",3,29.25,20.15,1.5,48.75
Sugars and sweets,"Syrup, carob, 60 g*",1,33,0,33,33
Sugars and sweets,"Chocolate confections, 40 g",116,36.49,19.58,2.4,125.64
Sugars and sweets,"Syrup, chocolate , 60 g",56,54.12,15.51,1.68,79.44
Sugars and sweets,"Chocolate, 40 g",53,71.19,52.77,17.6,196
"Sauces, dips, condiments and spreads","Chili sauce,15 g",3,0.29,0.13,0.13,0.45
"Sauces, dips, condiments and spreads","Mayonnaise,15 g",79,0.3,0.2,0.02,1.5
"Sauces, dips, condiments and spreads","Hollandaise sauce,30 g",1,0.42,0,0.42,0.42
"Sauces, dips, condiments and spreads","Relish,15 g",1,0.45,0,0.45,0.45
"Sauces, dips, condiments and spreads","Mustard,5 g",57,0.52,0.21,0.01,1.08
"Sauces, dips, condiments and spreads","Fruit jelly,15 g",51,0.51,0.33,0.12,1.32
"Sauces, dips, condiments and spreads","Horseradish,5 g",5,1.17,0.41,0.55,1.5
"Sauces, dips, condiments and spreads","Chutney,15 g",2,1.23,1.02,0.22,2.25
"Sauces, dips, condiments and spreads","Ketchup,15 g",61,1.57,0.97,0.23,4.58
"Sauces, dips, condiments and spreads","Dips (dairy-based),30 g",64,1.32,2.17,0.02,13.71
"Sauces, dips, condiments and spreads","Fruit jams,15 g",55,1.45,2.3,0.09,13.89
"Sauces, dips, condiments and spreads","Barbecue sauce,15 g",28,2.13,0.99,0.75,4.5
"Sauces, dips, condiments and spreads","Bechamel sauce,125 g",11,1.5,2.3,0.37,8.53
"Sauces, dips, condiments and spreads","Sweet and sour sauce,30 g",52,2.51,1.49,0.23,8.07
"Sauces, dips, condiments and spreads","Oyster sauce,15 g",1,1.13,0,1.13,1.13
"Sauces, dips, condiments and spreads","Soy mayonnaise,15 g",2,4.28,2.32,1.97,6.6
"Sauces, dips, condiments and spreads","Teriyaki sauce,15 g",1,3.45,0,3.45,3.45
"Sauces, dips, condiments and spreads","Pad thai sauce,125 g",1,5.04,0,5.04,5.04
"Sauces, dips, condiments and spreads","Soy sauce,15 g",23,6.61,5.9,0.11,30.05
"Sauces, dips, condiments and spreads","Salsa,60 g",50,7.87,3.6,0.6,23.16
"Sauces, dips, condiments and spreads","Gravy,60 g",53,8.13,7.44,0.48,30.36
"Sauces, dips, condiments and spreads","Guacamole,30 g",2,9.38,7.28,2.1,16.65
"Sauces, dips, condiments and spreads","Dressings,30 g",170,5.29,26.98,0.04,213
"Sauces, dips, condiments and spreads","Hummus / pulse dips,30 g",20,12.21,7.69,2.72,32.7
"Sauces, dips, condiments and spreads","Chocolate hazelnut spread,15 g",2,17.45,0.95,16.5,18.39
"Sauces, dips, condiments and spreads","Curry sauce,125 g",4,14.66,9.73,4.93,25
"Sauces, dips, condiments and spreads","Tartar sauce,30 g",3,15.4,20.93,0.53,45
"Sauces, dips, condiments and spreads","Pesto,60 g",11,26.19,23.83,1.19,81
"Sauces, dips, condiments and spreads","Satay sauce,125 g",1,50,0,50,50
Miscellaneous,"Vanilla extract, 1 g",15,0.02,0.03,0,0.14
Miscellaneous,"Yeast, 0.6 g",19,0.1,0.06,0.04,0.27
Miscellaneous,"Emulsifer, 1.5 g",2,0.2,0.12,0.08,0.33
Miscellaneous,"Tempura batter, 30 g*",1,0.22,0,0.22,0.22
Miscellaneous,"Nutritional yeast, 5 g*",1,0.5,0,0.5,0.5
Miscellaneous,"Baking powder, 0.6 g",20,0.75,0.56,0.08,1.94
Miscellaneous,"Vinegar, 15 g",8,0.84,0.62,0.11,1.95
Miscellaneous,"Agar, 0.6 g",2,1,0.2,0.81,1.2
Miscellaneous,"Baking soda, 0.6 g",3,1.02,0.5,0.4,1.62
Miscellaneous,"Barley malt, dried, 5 g*",1,2.65,0,2.65,2.65
Miscellaneous,"Tomato sauce, 60 g",63,6.15,2.28,2.13,12
Miscellaneous,"Bouillon powder, 6 g",10,5.95,3.83,0.12,9
Miscellaneous,"Vekao powder, 5 g*",1,6.9,0,6.9,6.9
Miscellaneous,"Broth, 250 g",17,9.58,3.59,5,19
Miscellaneous,"Tomato paste, 30 g",15,10.38,4.68,6,22.2
Miscellaneous,"Carob flour, 5 g*",1,10.6,0,10.6,10.6
Miscellaneous,"Protein powder, 30 g",22,15.91,13.67,3,48
Miscellaneous,"Cocoa mass, 5 g",2,28.98,0.38,28.6,29.35
Miscellaneous,"Coconut, dried, 15 g",8,24.45,13.52,2.25,42.6
Miscellaneous,"Cocoa powder, 5 g",15,50.9,13.54,27,85
