FiscalYear CalendarYear Collection TDSFoodNumber TDSFoodDescription Season TDSFoodListType Region Analyte Units Concentration ReportingLimit 
2018 2017 1 4 "Milk, skim, fluid" Winter Regional Mid-Atlantic Nickel ppb 0 20 
2018 2017 2 4 "Milk, skim, fluid" Winter Regional North Central Nickel ppb 0 20 
2018 2017 3 4 "Milk, skim, fluid" Winter Regional Southeast Nickel ppb 0 20 
2018 2018 4 4 "Milk, skim, fluid" Winter Regional Southwest Nickel ppb 0 20 
2018 2018 5 4 "Milk, skim, fluid" Winter Regional Southeast Nickel ppb 0 20 
2018 2018 6 4 "Milk, skim, fluid" Winter Regional Northeast Nickel ppb 0 20 
2018 2018 7 4 "Milk, skim, fluid" Summer Regional West Nickel ppb 0 20 
2018 2018 8 4 "Milk, skim, fluid" Summer Regional Northeast Nickel ppb 0 20 
2018 2018 9 4 "Milk, skim, fluid" Summer Regional Southwest Nickel ppb 0 20 
2018 2018 10 4 "Milk, skim, fluid" Summer Regional Mid-Atlantic Nickel ppb 0 20 
2018 2018 11 4 "Milk, skim, fluid" Summer Regional West Nickel ppb 0 20 
2018 2018 12 4 "Milk, skim, fluid" Summer Regional North Central Nickel ppb 0 20 
2019 2018 1 4 "Milk, skim, fluid" Winter Regional West Nickel ppb 0 20 
2019 2018 2 4 "Milk, skim, fluid" Winter Regional Southeast Nickel ppb 0 20 
2019 2018 3 4 "Milk, skim, fluid" Winter Regional Northeast Nickel ppb 0 20 
2019 2019 7 4 "Milk, skim, fluid" Summer Regional Southeast Nickel ppb 0 20 
2019 2019 8 4 "Milk, skim, fluid" Summer Regional North Central Nickel ppb 0 20 
2019 2019 9 4 "Milk, skim, fluid" Summer Regional West Nickel ppb 0 20 
2019 2019 10 4 "Milk, skim, fluid" Summer Regional Northeast Nickel ppb 0 20 
2019 2019 11 4 "Milk, skim, fluid" Summer Regional Mid-Atlantic Nickel ppb 0 20 
2019 2019 12 4 "Milk, skim, fluid" Summer Regional Southwest Nickel ppb 0 20 
2020 2019 1 4 "Milk, skim, fluid" Winter Regional Northeast Nickel ppb 0 20 
2020 2019 2 4 "Milk, skim, fluid" Winter Regional Southwest Nickel ppb 0 20 
2020 2019 3 4 "Milk, skim, fluid" Winter Regional Mid-Atlantic Nickel ppb 0 20 
2020 2020 4 4 "Milk, skim, fluid" Winter Regional West Nickel ppb 0 20 
2020 2020 5 4 "Milk, skim, fluid" Winter Regional North Central Nickel ppb 0 20 
2020 2020 6 4 "Milk, skim, fluid" Winter Regional Southeast Nickel ppb 0 20 
2018 2018 13 10 "Cheese, American, processed" Summer National National Nickel ppb 78 40 
2019 2019 13 10 "Cheese, American, processed" Winter National National Nickel ppb 90 40 
2020 2020 13 10 "Cheese, American, processed" Winter National National Nickel ppb 91 40 
2018 2017 1 12 "Cheese, cheddar (sharp/mild)" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2018 2017 2 12 "Cheese, cheddar (sharp/mild)" Winter Regional North Central Nickel ppb 0 40 
2018 2017 3 12 "Cheese, cheddar (sharp/mild)" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 4 12 "Cheese, cheddar (sharp/mild)" Winter Regional Southwest Nickel ppb 0 40 
2018 2018 5 12 "Cheese, cheddar (sharp/mild)" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 6 12 "Cheese, cheddar (sharp/mild)" Winter Regional Northeast Nickel ppb 0 40 
2018 2018 7 12 "Cheese, cheddar (sharp/mild)" Summer Regional West Nickel ppb 0 40 
2018 2018 8 12 "Cheese, cheddar (sharp/mild)" Summer Regional Northeast Nickel ppb 0 40 
2018 2018 9 12 "Cheese, cheddar (sharp/mild)" Summer Regional Southwest Nickel ppb 0 40 
2018 2018 10 12 "Cheese, cheddar (sharp/mild)" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2018 2018 11 12 "Cheese, cheddar (sharp/mild)" Summer Regional West Nickel ppb 0 40 
2018 2018 12 12 "Cheese, cheddar (sharp/mild)" Summer Regional North Central Nickel ppb 0 40 
2019 2018 1 12 "Cheese, cheddar (sharp/mild)" Winter Regional West Nickel ppb 0 40 
2019 2018 2 12 "Cheese, cheddar (sharp/mild)" Winter Regional Southeast Nickel ppb 0 40 
2019 2018 3 12 "Cheese, cheddar (sharp/mild)" Winter Regional Northeast Nickel ppb 0 40 
2019 2019 7 12 "Cheese, cheddar (sharp/mild)" Summer Regional Southeast Nickel ppb 0 40 
2019 2019 8 12 "Cheese, cheddar (sharp/mild)" Summer Regional North Central Nickel ppb 0 40 
2019 2019 9 12 "Cheese, cheddar (sharp/mild)" Summer Regional West Nickel ppb 0 40 
2019 2019 10 12 "Cheese, cheddar (sharp/mild)" Summer Regional Northeast Nickel ppb 0 40 
2019 2019 11 12 "Cheese, cheddar (sharp/mild)" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2019 2019 12 12 "Cheese, cheddar (sharp/mild)" Summer Regional Southwest Nickel ppb 0 40 
2020 2019 1 12 "Cheese, cheddar (sharp/mild)" Winter Regional Northeast Nickel ppb 0 40 
2020 2019 2 12 "Cheese, cheddar (sharp/mild)" Winter Regional Southwest Nickel ppb 0 40 
2020 2019 3 12 "Cheese, cheddar (sharp/mild)" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2020 2020 4 12 "Cheese, cheddar (sharp/mild)" Winter Regional West Nickel ppb 0 40 
2020 2020 5 12 "Cheese, cheddar (sharp/mild)" Winter Regional North Central Nickel ppb 0 40 
2020 2020 6 12 "Cheese, cheddar (sharp/mild)" Winter Regional Southeast Nickel ppb 0 40 
2018 2017 1 13 "Beef, ground, pan-cooked" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2018 2017 2 13 "Beef, ground, pan-cooked" Winter Regional North Central Nickel ppb 0 40 
2018 2017 3 13 "Beef, ground, pan-cooked" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 4 13 "Beef, ground, pan-cooked" Winter Regional Southwest Nickel ppb 0 40 
